93,74,92,108,94,75,109
94,93,75,95,76,109,110
95,96,77,76,94,111,110
96,95,77,112,111,78,97
97,78,96,79,98,112
98,46,58,97,79,28,99,112,118,116
99,80,79,100,28,98
100,80,9,28,99
101,102,84,81,82,45,83,113
102,101,84,103,85,113
103,102,85,104,113,86
104,86,105,113,103
105,86,87,106,113,104
106,113,105,88,107,87
107,88,106,113,91,108,89,90
108,92,93,109,114,117,91,107
109,114,108,93,110,94
110,115,114,111,109,94,95
111,96,112,116,110,115,95
112,96,111,97,98,116
113,106,105,107,101,102,104,103
114,110,115,109,108,117
115,110,114,118,117,111,116
116,111,112,98,115,118
117,118,115,108,114
118,117,115,98,58,116
119,200,140,136,196,195
120,137,133,171,149,144,172
121,147,138,159,152,151,161
122,154,153,142,146,145,128
123,156,162,124,134,61,141
124,155,134,70,123,71,61
125,157,129,160,203,174,165,173
126,163,130,180,179,178,135
127,166,175,132,76,208,77
128,142,177,176,187,145,122
129,125,157,165,164,80,9
130,163,126,199,188,198,135
131,193,197,139,1,5,4
132,127,166,76,75,186,183
133,167,137,120,144,185,184
134,192,155,189,124,123,156
135,130,188,195,194,126,178
136,140,119,168,193,194,195
137,167,133,120,171,173,174
138,147,121,180,181,205,151
139,1,206,194,193,188,131
140,200,145,119,187,136,168
141,62,186,61,183,162,123
142,128,177,122,153,201,202
143,172,196,149,169,179,178
144,133,185,120,172,190,191
145,200,140,187,128,146,122
146,200,145,191,154,122
147,138,121,161,169,179,180
148,168,197,7,6,187,182
149,169,170,171,143,172,120
150,2,181,18,17,199,163
151,152,13,205,14,121,138
152,151,13,12,158,159,121
153,201,192,122,154,189,142
154,190,189,122,153,191,146
155,70,69,207,192,134,124
156,185,162,123,189,190,134
157,125,129,160,204,9,158,159
158,12,152,11,157,204,159
159,161,160,121,152,158,157
160,161,159,125,157,203
161,159,160,169,147,121,170,203
162,185,184,156,123,141,183
163,126,130,180,181,150,199
164,165,129,78,208,80,79
165,129,164,208,175,174,125
166,175,127,183,184,132,167
167,184,166,133,137,174,175
168,197,193,148,187,136,140
169,161,147,170,149,143,179
170,169,149,171,161,203,173
171,149,170,120,137,173
172,196,143,200,149,191,120,144
173,203,170,171,137,174,125
174,165,175,137,173,125,167
175,166,127,165,208,174,167
176,64,63,182,128,177,187
177,128,142,65,64,176,202
178,196,195,143,179,126,135
179,180,126,169,143,147,178
180,179,126,138,181,163,147
181,205,2,150,138,180,163
182,7,148,63,8,176,187
183,184,166,186,141,162,132
184,183,166,185,162,167,133
185,184,162,144,133,156,190
186,75,74,62,141,183,132
187,148,168,145,140,128,176,182
188,198,206,139,194,130,135
189,154,190,153,192,156,134
190,154,189,144,191,156,185
191,200,172,144,190,154,146
192,201,153,189,207,155,134
193,197,131,168,139,194,136
194,139,193,188,195,136,135
195,196,178,194,136,119,135
196,195,178,172,143,200,119
197,193,131,168,148,5,6
198,188,206,19,20,199,130
199,19,18,150,163,198,130
200,145,140,119,172,196,191,146
201,153,192,60,202,142,207
202,60,66,201,177,142,65
203,170,161,160,173,125
204,10,11,9,157,158
205,181,2,151,14,138,15
206,20,21,198,188,139,1
207,155,69,60,201,192,68
208,164,78,165,175,127,77
